NAME	Astrocyte	Endothelial	Microglia	Oligodendrocyte	Neuron
Cdh10	792.878142659936	1	1	567.201207452721	273.237966407715
Cdh12	1	1	1	1	266.296915779111
Cdh13	1	1	1	270.418326906554	302.925802241002
Cdh18	1	1	1	90.6473811216844	348.869799565833
Cdh19	554.091582848599	1	1	147.343071870831	1
Cdh20	604.684804077986	1	1	542.593161602765	55.6362615191946
Cdh23	1	1	769.389461919778	1	1
Cdh4	180.15527825713	1	1	1	91.3069190549495
Cdh5	1	451.654876878648	1	1	1
Cdh6	1	1	1	130.211780660965	66.2582135799773
Cdh8	1	1	1	1	178.461393044271
Cdh9	1	1	1	1	96.598347595877
Cdk18	1	1	1	66.489362386343	1
Cdk4	1	1	1	90.2207171651218	1
Cdk5r2	1	1	1	1	208.354833628855
Cdk6	1	86.0903699775747	204.455674357521	1	1
Cdkn1a	1	900.736022097506	109.275005750205	1	51.6264330541751
Cdkn1c	1	105.071231731955	1	1	1
Cdo1	1	1	1	173.614230734526	1
Cdr2l	1	1	1	88.9105794848583	1
Cebpa	1	1	220.210460607208	1	1
Cebpb	1	1	115.85324545798	1	1
Cebpd	1	107.903673120867	1	1	1
Cebpzos	1	1	184.013809050893	1	50.0712027210942
Cecr2	107.67685660275	1	1	1	1
Celf3	1	1	1	1	88.0657093684411
Celf4	1	87.603793993703	1	82.2842147485542	1343.08242602185
Celf5	1	1	1	1	223.678515846183
Celrr	228.019030102973	1	1	1	1
Celsr2	1	1	1	1	143.154532321438
Cep128	108.799967098607	1	1	1	1
Cep152	1	1	99.7706337821005	1	1
Cep170b	1	1	1	1	139.60180681059
Cep19	1	1	1	1	107.325719857119
Cep68	1	1	155.864864707748	1	23.3793877026799
Cep85l	398.589768767694	157.758879921659	1	1	28.0040451884038
Cep97	1	1	1	114.112590089577	1
Cers2	1	1	1	172.035850475239	1
Cers6	1	1	1	1	153.387128625233
Cfh	1	88.0521714324578	547.709739963178	1	1
Cgnl1	1	381.404920230954	1	1	1
Chadl	1	1	1	74.1023609406177	1
Chchd10	535.054666487571	1	1	1	465.390466190878
Chd3os	1	1	1	63.2683607728304	591.891800780679
Chd5	1	1	1	1	143.989214645626
Chgb	1	1	1	1	187.032116091564
Chrdl1	172.636515909519	1	1	1	1
Chrm1	1	1	1	1	117.403827745964
Chrm2	1	1	1	1	121.76737423297
Chrm3	1	1	1	1	475.936472413064
Chst1	199.632803474256	1	1	1	178.625531236603
Chst10	105.647606679146	1	1	1	49.8447720860164
Chst2	401.956342216897	1	1	131.430941948722	47.4902139319604
Chst3	1	1	1	66.9696457908988	1
Chsy1	1	1	172.302873483543	1	1
Cited2	1	1	228.383917478581	1	69.7121329195115
Cklf	1	1	89.8802040065268	1	1
Cldn10	312.212875307444	1	1	1	1
Cldn11	1	1	1	1803.3529794679	1
Cldn14	1	1	1	88.6227422210605	1
Cldn34c1	1	81.2735114400605	1	1	1
Cldn5	1	2684.90069816926	1	1	1
Clec2d	1	334.147107867343	1	1	1
Clec4a2	1	1	138.371296164417	1	1
Clec4a3	1	1	137.471070364032	1	1
Clec5a	1	1	116.968316593015	1	1
Clic1	1	218.225237682902	361.626274692518	1	1
Clic4	1	1211.35655811563	153.829706367401	408.459148524716	1
Clic5	1	290.16773934421	1	1	1
Clmn	530.580500092178	1	1	249.134399684432	30.3603876259949
Cln8	1	1	1	75.4558316664769	1
Clstn2	1	1	1	1	383.64563163649
Clstn3	1	1	1	1	190.399840216736
Clu	670.198297319489	1	1	1	36.2805839922464
Clvs1	1	1	1	1	147.98352425589
Clybl	296.666102461729	1	1	1	29.4048610575201
Cmas	1	1	1	1	108.682481090969
Cmklr1	1	1	185.107237108937	1	1
Cmtm3	1	1	127.720667751833	1	1
Cmtm5	128.027138475147	1	1	172.301356485339	1
Cmtm6	1	1	415.534289335732	1	1
Cmtm7	1	1	492.495779391387	1	1
Cmtm8	1	188.043144426944	1	1	1
Cnih2	1	1	1	1	276.361262898592
Cnih3	1	1	1	1	101.777218737172
Cnksr2	1	1	1	1	349.420022814503
Cnksr3	1	1	1	183.392024027827	1
Cnn2	1	190.483617998761	1	1	1
Cnnm1	1	1	1	1	114.546660089132
Cnnm2	101.265450812813	1	1	1	30.9715481866672
Cnp	1	1	1	2141.98324847349	1
Cnr1	1	1	1	1	434.702171892324
Cntln	1	1	1	100.123871968501	43.178902220827
Cntn2	1	1	1	215.478301472507	39.9533206600031
Cntn3	1	1	1	85.1314685600893	266.064795893817
Cntn4	1	1	1	419.097610784734	710.856008495014
Cntn5	1	1	1	1	916.612163813991
Cntn6	1	1	1	176.470926827388	153.294297347278
Cntnap4	1	1	1	1	93.4419942677159
Cntnap5a	1	1	1	1	333.100404758805
Cntnap5b	1	1	1	1	164.134661756235
Cntnap5c	1	1	1	1	116.978827459414
Cobll1	1	799.915576781138	1	247.938510060644	1
Col19a1	1	1	1	1	95.7285821891063
Col1a2	1	116.85144599015	1	1	1
Col25a1	1	1	1	1	187.894690805737
Col27a1	1	1	202.116428364503	1	1
Col4a1	1	474.240283588155	1	1	1
Col4a2	1	410.518002607621	1	1	25.398682695078
Col4a3bp	1	564.76199202014	1	59.1576287951245	63.5941806939888
Colec12	1	287.698283617885	1	1	1
Commd3	1	1	1	112.746407812502	67.9329812197976
Commd8	1	1	313.527900554094	1	46.1672954731684
Copg1	1	1	1	1	116.02936534187
Copz2	1	88.5831467083826	1	1	1
Coro1a	1	1	163.16653467068	1	25.0021300789754
Cotl1	94.2249900679037	1	838.067404926994	1	54.3754345154015
Cox10	125.990270576459	1	1	1	41.5082557105803
Cox4i2	1	140.221861181209	1	1	1
Cp	1	271.224933481942	1	1	1
Cpeb2	1	1	1	116.631150408352	68.5927286065181
Cpeb4	377.815796385185	1	1	73.2624778809604	87.8231592627397
Cped1	1	202.018141054392	1	1	1
Cplx1	1	1	1	1	366.08105781847
Cpm	1	1	1	140.784615813808	1
Cpne2	97.2053317224182	1	1	1	1
Cpne4	1	1	1	1	307.143796878082
Cpox	1	1	1	262.690121349877	52.293330768794
Cr1l	1	101.693920467531	1	1	1
Cracr2b	1	125.264106849745	1	1	1
Creb5	1	1	1	336.293634218688	1
Creg1	1	1	283.256402548002	1	1
Creg2	1	1	1	1	99.363540333746
Crip1	1	521.554621070085	1	1	1
Crip2	170.888515612054	883.695006395579	1	1	87.2244856344744
Crlf3	215.794603607307	1	201.047283950248	1	1
Crmp1	1	1	1	1	126.733644287753
Crot	170.617760363271	1	1	1	1
Cryab	175.267327389406	201.215506496724	1	1974.24072573867	74.2240984948871
Crybb1	1	1	485.28386494099	1	1
Crybg3	1	123.831683964275	1	1	1
Cryl1	1	1	210.58614570788	1	24.7077169183904
Csdc2	201.947079904318	1	1	1	85.3942028913996
Csf1r	1	1	2206.83959832404	1	1
Csf3r	1	1	406.088643448729	1	1
Csmd2	1	1	1	427.200913072849	320.360885438189
Csmd3	1	1	1213.08714077142	1283.04696711532	649.322880071191
Cspg4	1	1	1	187.785287257762	1
Cspg5	1412.38980987331	1	1	727.69247585676	122.794777691294
Csrp2	1	199.961260647633	1	1	1
Ctc1	1	1	189.565223524962	1	1
Ctdsp1	1	133.285949574959	1	1	1
Ctnna2	966.3897801832	1	1	1299.78961859124	1079.08392240927
Ctsa	1	1	282.758383338518	1	1
Ctsc	1	1	509.910956045308	1	1
Ctsh	1	219.772397379911	440.057034876855	1	1
Ctso	144.127119763323	1	1	1	1
Ctss	1	1	1735.49429258692	1	1
Ctsz	1	1	673.469345956292	1	1
Ctxn1	1	1	1	119.651624929063	546.165219894717
Cx3cr1	1	1	5098.55690661614	1	1
Cxcl12	1	1521.16201949679	1	1	1
Cxcl14	748.651527582571	1	1	1	178.900584414249
Cyb5r3	1	217.481010596064	1	1	38.0007844982726
Cyba	1	108.230642476826	556.970271553317	1	1
Cyfip2	1	1	1	231.1857468225	555.271093128794
Cygb	1	1	1	1	86.7187228050764
Cyp2d22	143.441134663337	90.9833531228211	1	1	1
Cyp2j6	73.1614995366085	1	1	110.1569829486	1
Cyp2j9	125.130424311453	1	1	1	1
Cyp46a1	1	1	1	1	86.5537611985002
Cyp4f15	100.837342575363	1	1	1	1
Cyp7b1	158.976826092086	1	1	1	32.9592039673042
Cyr61	1	373.834282214308	1	1	1
Cysltr1	1	1	105.781783566328	1	1
Cyth3	1	181.269978709279	1	1	38.9594647663679
Cyth4	1	1	401.316665718883	1	1
Cyyr1	1	914.000318857751	1	1	1
D030047H15Rik	228.9420450698	1	1	1	1
D130040H23Rik	130.009303052143	1	1	1	1
D16Ertd472e	1	1	1	97.5356613059078	1
D230017M19Rik	1	1	233.656754388895	1	1
D630045J12Rik	1	1	1	115.36146053562	61.0091361027759
D7Ertd443e	1	1	1	85.2940134207804	1
Daam2	509.492426452882	1	1	142.608668129748	1
Dab2	1	182.918266146123	1	1	1
Dab2ip	1	232.770987189861	1	1	49.3456185386379
Dach1	148.929617502357	289.262453557963	1	1	1
Daglb	1	1	349.976172041345	1	29.9767036244226
Dap	1	93.5705216036269	1	1	1
Dapp1	1	1	310.988659127271	1	1
Dbndd2	1	1	1	154.863126337207	50.5613699305214
Dbp	136.625501950619	1	1	1	26.358986943269
Dbx2	341.066872411156	1	1	1	1
Dcakd	1	1	199.898582082772	1	43.6374011701588
Dclre1c	1	1	156.860176393663	1	1
Dcun1d3	1	170.132180798294	1	1	29.7232665901121
Dcun1d4	134.811325703068	1	1	1	67.6437954843103
Ddc	1	122.458275480582	1	1	1
Ddhd1	732.221582750889	1	1	157.669680509574	93.8983950299621
Ddit4l	84.2077446855162	1	1	1	1
Ddn	1	1	1	1	125.577526431159
Ddo	99.2313067412059	1	1	1	1
Ddr1	1	1	1	297.81672214079	1
Ddt	79.9686724331246	1	1	1	1
Def6	1	120.493459510223	1	1	1
Degs1	1	1	1	138.15583676473	35.9521254819869
Degs2	1	146.488184895206	1	1	1
Dennd3	1	271.803786759087	1	1	1
Dgkd	1	1	289.64033231307	1	72.0052178940013
Dgkg	1	1	1	1	174.446406862321
Dgkh	1	373.887751011961	1	1	201.78009374348
Dglucy	1	1	107.704935223489	1	1
Dhcr7	112.518801887762	1	1	1	1
Diablo	1	1	1	55.0640498142346	1
Dio2	384.06094761809	1	1	1	1
Dip2a	1	1	1	188.664606655961	50.8796529104565
Diras1	1	1	1	1	91.5566377120994
Diras2	1	1	1	1	202.915323475088
Disc1	1	1	113.137168597059	1	1
Disp2	1	1	1	1	174.416907116386
Disp3	130.478106359012	1	1	1	1
Dixdc1	1	1	1	215.976624944506	78.7548272454712
Dkk3	245.803930853683	1	1	1	210.21578525341
Dlg5	78.0468865793517	1	1	1	1
Dlgap2	1	1	1	1	826.871213457351
Dlgap3	1	1	1	1	129.09169069038
Dlx1as	1	1	1	1	104.361906376602
Dlx6os1	1	1	1	1	99.7737441262574
Dmtn	1	1	1	1	168.589213663345
Dnajb2	1	1	1	182.278354031316	39.1420243898828
Dnajc27	1	1	1	1	88.0581253318746
Dnajc6	1	1	1	109.044530942962	363.964614052273
Dnase2a	1	1	118.557585686575	1	1
Dnm3	1	561.940365375785	1	839.772510519932	336.038441419792
Dock10	1	1	787.277514460846	1406.21030566969	39.3159536570152
Dock11	1	1	131.194818585206	1	1
Dock2	1	1	413.616938876309	1	1
Dock6	1	306.393699338092	1	1	1
Dock8	1	1	629.978946375843	1	1
Dok4	1	76.9771989021087	1	1	1
Dpf3	229.20512773448	1	1	1	1
Dpp10	1	1	1	288.815973533815	556.28927058179
