NAME	Neuron	Endothelial	Astrocyte	Microglia	Oligodendrocyte
Casp1	1	1	1	131.055873456118	1
Casp8	1	266.273265803045	1	326.149423872212	1
Cast	1	156.366570266631	1	1	1
Cav1	1	617.844930100504	1	1	250.005907203266
Cbs	1	1	437.846697295969	1	1
Cc2d2a	1	127.41104082288	52.8516661138251	1	1
Ccbl2	1	1	59.9499679387004	1	1
Ccdc130	1	1	1	1	36.0079896634681
Ccdc141	1	683.711618988916	349.12604325541	1	1
Ccdc18	1	1	61.2378820295463	1	1
Ccdc32	98.4087540825206	1	1	1	1
Ccdc48	1	1	1	38.8340432013674	1
Ccdc80	1	1	77.3808284791927	1	1
Ccdc90a	1	1	148.404600512265	102.38759616019	1
Ccl12	1	1	1	214.314406353599	1
Ccl27a	139.31287806441	1	1	1	1
Ccl3	1	1	1	331.173713304745	1
Ccl4	1	1	1	781.908457670402	1
Ccl6	1	1	1	350.581395799332	1
Ccl9	1	1	1	182.949989821853	1
Ccnd1	1	139.555906240578	1	1	91.3278470796971
Ccr5	1	1	1	487.009225887914	1
Ccrl2	1	1	1	141.674083705836	1
Cd14	1	1	1	624.078739728321	1
Cd151	1	61.203470268477	1	1	1
Cd180	1	1	1	45.9186554114328	1
Cd2ap	1	193.460989037406	1	154.368063855586	1
Cd2bp2	32.0343838068415	183.431621263766	1	1	1
Cd33	1	1	1	356.079724391616	1
Cd34	86.1609491365325	707.555627651629	1	1	1
Cd37	1	1	1	368.727532044321	1
Cd38	1	257.057830944138	183.419532667973	1	1
Cd48	1	1	1	194.999649579369	1
Cd52	1	1	1	120.502046679698	1
Cd53	1	1	1	3039.25569068113	1
Cd59a	1	709.471692088467	1	1	1
Cd68	1	1	1	921.219872564701	1
Cd82	1	1	1	74.3602944347977	343.913772605135
Cd83	1	1	1	332.286060773063	1
Cd84	23.3164740988456	1	43.4635624756167	583.840656541536	17.3232827665989
Cd86	1	1	1	399.130185993197	1
Cd93	1	1452.49616499047	1	1	1
Cd97	1	287.980576794203	1	1	1
Cd99l2	78.3369056301145	1	1	1	1
Cdc42ep2	1	1	1	1	155.605824424508
Cdc7	41.8133348396633	1	1	1	123.738992630448
Cdh12	102.981992834062	1	1	1	1
Cdh13	177.570405601669	1	1	1	189.868200926808
Cdh5	1	186.911755997119	1	1	1
Cdh8	70.9348253799272	1	1	1	1
Cdk5rap2	1	1	1	1	79.3430588601309
Cdkn2aip	1	53.1489406060425	1	1	1
Cdo1	1	1	1	1	67.4876308083679
Cdr1	72.3252042783046	1	1	1	1
Cdr2l	86.4942673768098	191.84705075171	1	1	471.001948089234
Ceacam1	1	398.847445222189	1	186.779881390529	1
Cebpa	1	1	1	128.017518818065	1
Cecr2	1	1	99.521547513559	1	1
Celf4	221.371402331118	1	14.8760655643512	1	1
Celsr2	79.1668544971499	1	1	1	1
Cend1	303.709066534532	1	1	1	1
Cenpb	1	1	1	97.342911533189	1
Cenpe	1	209.430305772045	1	1	1
Cep250	1	47.3022318973609	1	1	1
Cep68	1	1	1	117.750607421536	1
Cep97	23.4153802196386	1	1	1	169.05003467851
Cercam	1	1	1	1	79.1364976828014
Cetn2	70.8128740676345	139.702690407362	1	1	1
Cfh	1	1361.49844911867	1	2423.052041685	1
Cgnl1	1	129.26501765264	1	1	1
Chchd6	97.1170348079684	1	1	1	1
Chga	75.9054066838315	1	1	1	1
Chgb	559.203322974992	1	1	1	1
Chi3l1	1	1	179.97498534478	1	1
Chl1	364.242376334728	1	1	1	253.977488369153
Chm	102.318264422296	1	1	1	1
Chmp7	31.6465975937767	1	1	1	104.998611212304
Chn1	1991.36159122942	49.0354789068967	56.8672809184164	1	69.9390042960168
Chn2	36.6036381427847	1	1	110.978360240045	953.076079651092
Chpt1	1	1	97.2643014942755	1	31.7731453269695
Chrdl1	1	1	828.775889308927	1	1
Chst10	40.7602195208758	1	242.929569616869	1	1
Chst11	1	102.751966557099	1	1	145.080223927218
Cib1	1	1	63.2191754206199	1	1
Cideb	1	1	63.9110162928093	1	1
Ckmt1	425.186581476116	1	1	1	1
Cldn10	1	1	1274.76159595858	1	1
Cldn11	1	1	1	1	1388.16607985222
Cldn5	1	66.5196677057579	1	1	1
Clec14a	1	61.366092810803	1	1	1
Clec4a2	1	1	1	97.3125391967713	1
Clec4a3	1	1	1	258.686917215877	1
Clec5a	1	1	1	384.10600554856	1
Clic1	1	288.764625957346	1	255.898796731479	1
Clic4	1	199.652198326677	1	1	118.077580448155
Clic5	1	191.398752046547	1	1	1
Clmn	1	1	370.565677778287	1	265.744260320378
Cln3	1	1	126.923407280541	1	120.798964165298
Clpx	39.2065709675298	124.570887981703	1	1	1
Clstn1	74.9431060854364	1	1	1	1
Clstn3	354.677555427845	1	1	1	1
Clu	726.617893056035	241.923853299088	19532.5816290713	1	512.837189609745
Clvs1	128.07220308161	1	1	1	1
Clvs2	74.8440639921171	1	1	1	1
Clybl	43.4994074739351	1	123.011808623843	1	1
Cmbl	1	381.453140318671	1	1	1
Cml1	1	1	358.932022619923	1	79.6194508709087
Cml3	1	1	109.151597198483	1	1
Cml5	1	1	246.262830879568	1	1
Cmtm5	1	1	617.232740172638	1	729.80471300639
Cmtm6	1	1	1	348.032895013782	1
Cnksr2	81.0650944941292	1	1	1	1
Cnn2	1	135.72326140674	1	1	1
Cnot7	71.5088285791918	1	1	1	1
Cnp	1	1	421.351127332866	52.7153601444552	6985.07538306913
Cnr1	2726.2404828827	1	301.251936666592	1	1
Cnrip1	233.605354829675	1	77.7260532587618	1	1
Cntn1	801.583425477228	1	1	1	1059.25604529724
Cntn2	1	1	1	1	109.996904716982
Cntn4	120.914155335741	1	1	1	1
Cntnap2	139.250960607278	1	1	1	1
Cobll1	1	314.703693912536	1	1	65.9644521290567
Coch	69.8757238162865	1	1	1	1
Cog4	72.2165172382805	1	1	1	116.407188645704
Cog5	1	61.0446773698449	1	1	1
Col19a1	79.1257167432526	1	1	1	1
Col1a2	1	422.532855460725	1	1	1
Col27a1	1	1	1	86.9880106060881	1
Col4a1	1	396.651819089515	1	1	1
Col4a2	1	190.010283874251	1	1	1
Copg2	39.7124136323668	1	1	110.22670107017	1
Coq9	77.2160055182076	1	154.293576459947	1	1
Coro1a	128.441484648093	1	1	705.88682260501	1
Coro7	44.4526756167587	1	1	1	117.025695369452
Cotl1	1	1	1	67.5073031917145	1
Cox10	39.5806958990796	1	99.6025554616739	1	1
Cox4nb	1	1	171.276245061752	1	54.8657878204036
Cp	1	1380.05932975537	1	1	154.1266028801
Cpeb2	38.6160706646351	1	1	1	107.284121946192
Cplx1	440.581966487873	1	1	1	1
Cpm	1	1	1	1	141.524523105493
Cpne1	1	1	1	118.876694615032	1
Cpne6	131.800194349147	1	1	1	1
Creb5	1	1	1	1	77.165404263026
Creg1	1	1	1	135.459227734178	1
Crem	81.7789123248906	1	1	1	1
Crhbp	404.934552294	1	1	1	1
Crip1	1	254.713125658624	1	1	1
Crip2	187.133007559401	1251.36723314778	355.261187047177	1	1
Crlf3	1	1	69.0960561007096	1	1
