NAME	Neuron	Oligodendrocyte	Microglia	Endothelial	Astrocyte
Anxa2	1	1	1	338.308633398423	77.0495716125963
Anxa3	1	1	58.9997325942709	258.613004789331	1
Anxa4	1	1	49.2128557717922	1	1
Ap1s1	202.301013603776	66.1842469607581	1	1	1
Ap5z1	1	43.2972022582658	1	1	1
Apcdd1	1	1	1	66.5872776848288	1
Apln	1	1	1	166.524205831193	63.4427988285549
Aplnr	1	1	1	66.6530185016513	1
Apobec1	1	1	177.265295995374	1	1
Apod	1	6564.1595254592	376.839214610191	286.03441996678	573.765655084666
Apold1	1	1	121.612627643246	486.076682513582	1
Apool	1	38.0002772583605	1	1	1
Appl2	1	89.5624733315334	128.155746953441	1	471.115240864178
Aqp11	1	1	1	68.2938284856187	1
Aqp4	1	1	90.7333374192449	1	3237.78200175932
Arap1	1	1	53.6708609237811	1	1
Arap3	1	1	230.022457098051	705.526040997776	1
Arc	119.629226491483	172.705105095577	1	1	1
Arfgap3	31.839964746886	87.9467271326958	1	1	1
Arhgap19	1	1	114.613079972385	1	1
Arhgap23	29.6674692219564	120.220173407544	1	1	1
Arhgap27	1	1	1	71.9949116180178	1
Arhgap29	1	1	1	321.867753546728	1
Arhgap30	1	1	65.2404968895036	1	1
Arhgap31	1	1	82.6535556191657	174.923230532318	1
Arhgap44	134.047793808204	1	1	1	1
Arhgdib	1	1	220.046750025869	1	1
Arhgdig	70.2738986988238	1	1	1	1
Arhgef10	1	84.7916763565035	1	1	1
Arhgef15	1	1	1	82.7408994420013	1
Arhgef17	72.610914529672	1	1	100.170586188393	1
Arhgef25	222.989424850039	1	1	69.2517794065319	1
Arhgef26	23.2336870688143	1	1	1	119.605812788121
Arhgef6	1	1	60.5198829138297	1	1
Arhgef7	80.817019298387	1	1	102.343873815631	1
Arl4a	40.1719893472982	52.0763310430012	143.197267148184	671.484692435457	1
Arl4c	64.736528264872	1	281.582518889236	1	1
Armcx2	76.6967611154599	1	1	1	1
Arrb2	32.5861117471221	1	154.94471128646	1	1
Arrdc3	32.6548660751848	208.662340550151	66.0734830968596	1	1
Arsg	1	153.662158618854	1	1	1
Arxes1	69.711792597863	1	1	1	108.340599065228
Arxes2	88.291863164443	1	1	1	242.575954309037
As3mt	1	1	1	1	52.3405771497231
Asic2	97.2239025293453	1	1	1	1
Asns	163.905641678652	1	1	1	1
Aspa	1	1227.61918793152	1	1	1
Aspn	1	1	1	242.640269819063	1
Astn1	149.163381104736	1	1	1	105.46957737552
Atat1	34.6520525282891	94.0399079940714	1	1	1
Atcay	131.521169090722	1	1	1	1
Atf3	1	72.2674257880438	822.238909864382	428.235018372125	1
Atf5	1	1	1	210.417529510501	1
Atl3	1	31.9757596156149	1	1	1
Atp10a	1	1	1	62.01185073304	1
Atp13a4	1	1	1	1	133.398798045511
Atp13a5	1	1	1	145.755735303983	1
Atp6v1g2	431.047671054465	1	1	1	1
Axin2	1	1	1	46.9930097629731	1
Axl	1	1	1	99.0104605417871	120.325744114863
B230209E15Rik	93.2234716996635	1	1	1	1
B230209K01Rik	1	1	1	1	59.9143711441644
B3galt5	34.8925385768276	244.887845071994	1	1	1
B3galtl	1	1	1	1	60.6482509273155
B4galt1	1	1	252.11420582264	57.90744748019	1
BC017643	1	1	62.6384342972978	1	1
BC018242	160.100162053901	1	1	1	1
BC028528	1	1	91.9287849101054	577.473755628154	1
BC030336	70.0226585134104	1	1	1	1
BC090627	1	1	52.9832410550061	1	1
Baalc	1	1	1	1	83.7445644555348
Bag4	78.286495053966	1	1	1	1
Bank1	1	1	91.5245812845008	1	1
Bcar3	1	1	1	1	49.3312633346848
Bcas1	1	246.540934247489	1	1	1
Bcl11b	323.565432194435	1	1	1	60.9865821897261
Bcl2	1	1	1	1	63.790157982791
Bcl2a1b	1	1	736.146057953524	1	1
Bcl2a1c	1	1	101.699576025724	1	1
Bcl6	46.7765716210939	1	1	1	76.1690944553952
Bdnf	113.892692071193	1	1	1	1
Bend6	81.9398992385933	1	1	1	1
Bex1	95.8367453534617	1	1	1	1
Bex4	108.234340212942	1	1	1	1
Bgn	1	1	1	78.2267027933391	1
Bin2	1	1	58.7701066011433	1	1
Birc3	1	1	1	66.1120861337576	1
Blnk	1	1	116.401762095201	1	1
Blvrb	1	1	409.251598620657	54.3226333326132	47.3565818952142
Bmp2	1	1	100.567697880455	1	1
Bmpr1a	26.7128924154768	1	1	1	151.5088405184
Bmpr1b	1	1	1	1	147.556047557836
Bphl	48.6962010682617	1	1	1	67.5218144419905
Brinp2	93.0230028478597	1	1	1	1
Brms1	1	37.1777047790192	1	1	1
Bst2	1	1	154.8330681783	1	1
Btbd17	1	1	1	1	230.486362832243
Btbd9	98.1323245532109	1	1	1	1
C030029H02Rik	1	60.655271251471	1	1	1
C130074G19Rik	1	1	1	223.848940786511	1
C1qa	1	1	3212.81466465456	1	1
C1qb	1	1	2325.28666869904	1	1
C1qc	1	1	1251.66214417934	1	1
C1ql3	136.589363542778	1	1	1	1
C1qtnf5	1	1	1	1	56.3477349061807
C2	1	1	120.969813362585	1	1
C2cd2l	115.73577971874	1	1	1	1
C2cd5	67.4787379699296	1	1	1	1
C330006A16Rik	1	1	59.0039362304353	1	1
C3ar1	1	1	518.500037463072	1	1
C4a	1	1	1	1	66.7355752586314
C4b	1	1	1	1	88.8831550064556
C5ar1	1	1	452.446828495737	1	1
C630043F03Rik	1	43.3009252761002	1	1	1
C77370	125.766108089063	1	1	1	1
C920025E04Rik	1	1	61.7849806756708	1	1
Cacna1g	72.6983711534724	1	1	1	1
Cacna1h	88.9531699285351	1	1	117.225116409152	1
Cacna2d3	164.007691975611	1	1	1	1
Cacnb1	71.974791353271	1	1	1	1
Cacnb3	76.0390044292016	1	1	1	1
Cacng2	125.706404642735	1	1	1	1
Cadps2	226.003776147422	1	1	1	1
Calb1	204.007864963844	1	1	1	1
Calcrl	1	1	1	77.4282569468581	1
Caln1	127.693666953605	1	1	1	1
Caly	332.269157777172	1	1	1	1
Camk1	32.2041359102697	1	132.789908599245	1	1
Camk4	201.901421986243	1	1	1	1
Capn5	49.8372304985952	115.226210379615	1	1	1
Car11	105.732564801428	1	1	1	1
Car14	1	439.154052993711	1	1	1
Car4	36.0417792758125	1	125.534602096072	746.376246229245	1
Car8	1	1	1	1	74.7853661836756
Carhsp1	1	279.386434504333	103.550707040006	1	59.8130010762371
Carns1	1	88.4917521143765	1	1	1
Caskin1	102.549101076477	1	1	1	138.224895744289
Casp1	1	1	130.017423661857	1	1
Casp4	1	1	94.1431495915568	1	1
Casp6	1	1	37.4458751967991	86.2392614544462	1
Casq2	1	1	1	131.417145358752	1
Cass4	1	1	116.044919260254	1	1
Cav1	1	1	1	319.062803864985	1
Cbfa2t3	58.5876826500979	1	1	103.932916173695	1
Cbr2	1	1	1467.04164860092	1	1
Cbs	1	1	1	1	225.473666310925
Cc2d1b	1	33.1610129774636	1	1	1
Ccdc141	1	1	1	394.54081704703	93.4526300591649
Ccdc23	1	1	1	1	39.9616872099396
Ccdc80	1	1	1	1	71.9975414854493
Ccdc82	1	1	1	53.0256291772749	1
Ccdc85a	65.0206903285876	1	1	1	1
Cck	782.207116375276	1	1	84.349294693036	1
Ccl12	1	1	2059.14209390037	1	1
Ccl2	1	1	3705.75682622375	1	1
Ccl24	1	1	1360.53111517471	1	1
Ccl27a.loc1	93.0141438000107	1	1	1	1
Ccl3	1	1	3252.79457563284	1	1
Ccl4	1	1	2157.42121535967	1	1
Ccl6	1	1	86.1469078756886	1	1
Ccl7	1	1	4169.53208580214	1	1
Ccl9	1	1	129.705800559585	1	1
Ccm2l	1	1	1	70.4314066013743	1
Ccnyl1	1	32.8945763620729	1	1	1
Ccp110	30.4026249622302	194.053702556523	1	1	1
Ccr1	1	1	462.315790284187	1	1
Ccrl2	1	1	558.164329401659	101.682119312875	1
Cd14	1	1	1045.77186997619	1	1
Cd151	1	1	1	92.8329400093698	1
Cd163	1	1	308.68215332977	1	1
Cd200	98.3283536279003	1	1	186.854164654839	1
Cd200r1	1	1	64.4195208925606	1	1
Cd209f	1	1	1078.61601044928	1	1
Cd209g	1	1	298.243080852445	1	1
Cd248	1	1	1	50.1223413306358	1
Cd300a	1	1	155.701548613772	1	1
Cd33	1	1	135.439273503121	1	1
Cd34	80.7041993192369	1	59.3720216357914	454.663480859693	1
Cd36	1	1	811.057629529206	1	1
Cd40	1	1	1	63.622114370502	1
Cd44	1	1	1	1	66.7627532720268
Cd48	1	1	114.803188730099	1	1
Cd53	1	1	897.488533392964	1	1
Cd59a	1	151.280061209423	1	121.807849256629	1
Cd68	1	1	844.035275833434	1	1
Cd83	1	1	1235.03381199241	1	1
Cd84	1	1	101.779693362479	1	1
Cd86	1	1	336.649096171799	1	1
Cd93	1	1	109.952691622093	649.571707375765	1
Cd97	1	1	1	138.700510038121	1
Cdc42bpb	33.3474426805713	1	1	78.4310645551158	1
Cdc42ep1	1	163.00098697459	1	60.6182933817544	1
Cdc42ep2	1	211.95493180941	1	1	1
Cdc42ep3	1	1	1	88.4056971349917	1
Cdc42ep4	1	1	1	123.384367735643	179.32991489706
Cdh19	1	74.9438552299949	1	1	1
Cdh20	1	30.2140652458626	1	1	1
Cdh5	1	1	1	165.060353179672	1
Cdk14	172.039252247277	1	1	1	1
Cdk18	1	91.8567038098015	1	1	1
Cdk5r2	113.721172656359	1	1	1	1
Cdk5rap2	1	1	1	1	64.3603700644688
Cdkl2	82.9748271686164	1	1	1	1
Cdkn1a	1	1	114.949054805776	248.097832556886	1
Cdkn1c	1	1	1	146.226834472691	1
Cdr2l	1	40.714261972864	1	1	1
Cds1	118.006013472161	1	1	1	1
Cebpa	1	1	154.246592431965	1	1
Cebpb	1	1	83.0531810439553	1	1
Cebpd	1	1	77.4352495330501	1	1
Cenpb	45.0333866671979	1	1	67.8860735171185	1
Cenpf	1	1	135.105376021761	1	1
Cep110	1	1	48.2432673857247	1	1
Cep170b	86.6567834390024	1	1	1	1
Cep19	89.9199468946119	1	1	1	1
Cep57	38.6520005873171	1	1	83.6238345293516	1
Cep97	24.7255135396884	74.2153011949006	1	1	1
Cfh	1	1	731.156986390301	188.116380793573	1
Cfhr2	1	1	85.669074588913	1	1
Cflar	1	1	195.439651498522	76.8975806207535	1
Cfp	1	1	285.998440497469	1	1
Cgnl1	1	1	1	198.90699302216	1
Chadl	1	40.3333459608292	1	1	1
Chchd10	162.458086644753	1	1	1	237.805023784324
Chchd6	153.573801420109	1	1	1	1
Chga	99.0653839278764	1	1	1	1
Chid1	88.5439763362768	1	1	1	1
Chmp1b	21.3781537244578	69.1604016976621	1	1	1
Chn2	1	197.876777195068	41.8506446198034	48.9533137629323	1
Chpf	82.2065121641388	1	1	1	1
Chpt1	1	1	1	1	125.172914823835
Chrd	77.3525990963121	1	1	1	1
Chrdl1	1	1	1	1	77.9814026005671
Chrm1	101.664021131945	1	1	1	1
Chrm3	139.19579879609	1	1	1	1
Chst10	36.2203456265705	1	1	1	105.404572682953
Chst11	25.6114921444963	1	1	1	63.0500826823648
Cib1	1	1	51.5382237623454	1	1
Cideb	1	1	1	1	57.8395120160246
Cited2	32.0552885631666	1	159.388292312329	1	1
Cklf	1	1	65.0306930967985	1	1
Ckmt1	279.762305326003	1	1	1	1
Cldn10	1	1	1	1	1116.3862877281
Cldn11	1	1944.25224504711	192.859780957066	83.9799982234405	115.291512712882
Cldn14	1	40.9515092029411	1	1	1
Cldn5	1	1	93.2983767320594	1141.98654546945	1
Clec10a	1	1	236.507079586728	1	1
Clec12a	1	1	56.2620257431909	1	1
Clec14a	1	1	1	145.856007223329	1
Clec4a2	1	1	210.005536802566	1	1
Clec4a3	1	1	266.655421440488	1	1
Clec4n	1	1	394.451637820733	1	1
Clic1	1	1	349.757704125461	164.213403627503	1
Clic5	1	1	1	86.9418181133798	1
Clstn1	94.5228558666727	1	1	1	1
Cluh	52.0527894462136	1	1	1	72.0334551182557
Clybl	24.8005282891933	1	1	1	65.0816136559517
Cmas	101.814319245329	1	1	1	1
Cml1	1	57.1214778977743	1	1	255.662627988171
Cmtm3	1	1	53.971463970616	1	1
Cmtm4	52.2395080162151	1	1	1	79.6550362818233
Cmtm5	1	1048.72837452155	1	1	532.247219665605
Cmtm6	1	1	165.179032316636	97.892690209874	1
Cnih2	132.987904182943	1	1	1	1
Cnih3	77.3641936429968	1	1	1	1
Cnn2	1	1	1	137.753914499456	1
Cnot6l	43.9750470145276	1	1	131.203398422355	1
Cnppd1	1	1	95.961018660029	1	1
Cntn2	78.3066574804983	518.055848008955	1	1	78.8890162995166
Cntnap1	75.2047651517726	1	1	1	1
Cntnap2	110.136105607505	1	1	1	1
Cobll1	1	1	1	201.778399247882	1
Col1a2	1	1	1	79.1971077442617	1
Col25a1	88.8739105405811	1	1	1	1
Col4a1	37.7943986728739	1	139.670506479058	918.576188288379	1
Col4a2	1	1	1	391.494694202049	1
Col9a3	1	54.2718350835962	1	1	1
Colec12	1	1	95.5477225241101	1	1
Commd9	38.0512818751062	102.783300828559	1	1	1
Cotl1	30.0424842382897	1	216.456881951773	1	1
Cp	1	1	356.268066347301	117.658616513777	1
Cpeb2	41.3126746123264	75.4285044810802	1	1	1
Cpm	1	136.229935942458	1	1	1
